SEQ,INSCL,INSCL_NAME,INSCL_DATEEXP,MAININSCL,SOURCE,USED
1,"60","อาสาสมัครมาลาเรีย","ตามวันหมดอายุของบัตรประจำตัว","WEL","1","Y"
2,"61","บุคคลในครอบครัวของอาสาสมัครมาลาเรีย","ตามวันหมดอายุของเจ้าของบัตรประจำตัว","WEL","1","Y"
3,"62","ช่างสุขภัณฑ์หมู่บ้าน","ตามวันหมดอายุของบัตรประจำตัว","WEL","1","Y"
4,"63","บุคคลในครอบครัวของช่างสุขภัณฑ์หมู่บ้าน","ตามวันหมดอายุของเจ้าของบัตรประจำตัว","WEL","1","Y"
5,"64","ผู้บริหารโรงเรียน และครูของโรงเรียนเอกชนที่สอนศาสนาอิสลาม","ตามวาระที่รับมอบหมาย","WEL","1","Y"
6,"65","บุคคลในครอบครัวของผู้บริหารโรงเรียน และครูของโรงเรียนเอกชนที่สอนศาสนาอิสลาม","ตามวันหมดอายุของเจ้าของบัตรประจำตัว","WEL","1","Y"
7,"66","ผู้ได้รับพระราชทานเหรียญราชการชายแดน","Noexp","WEL","1","Y"
8,"67","ผู้ได้รับพระราชทานเหรียญพิทักษ์เสรีชน","Noexp","WEL","1","Y"
9,"68","สมาชิกผู้บริจาคโลหิตของสภากาชาดไทย ซึ่งบริจาคโลหิตตั้งแต่ 18 ครั้ง ขึ้นไป","Noexp","WEL","1","Y"
10,"69","หมออาสาหมู่บ้านตามโครงการของกระทรวงกลาโหม","Noexp","WEL","1","Y"
11,"70","อาสาสมัครคุมประพฤติ กระทรวงยุติธรรม","ตามวาระที่ได้รับมอบหมาย","WEL","1","Y"
12,"71","เด็กอายุไม่เกิน 12 ปีบริบูรณ์","ณ วันที่ ครบ 12 ปีบริบูรณ์","WEL","1","Y"
13,"72","ผู้มีรายได้น้อย","Noexp","WEL","1","Y"
14,"73","นักเรียนมัธยมศึกษาตอนต้น","3 ปี ","WEL","1","Y"
15,"74","คนพิการ","Noexp","WEL","1","Y"
18,"77","ผู้มีอายุเกิน 60 ปีบริบูรณ์","Noexp","WEL","1","Y"
